kollekciok,primo_finishing,3d_finishing,iridium_finishing,cpl_laminate,hpl_laminate,lacquered,room_door,inner_door,interior_entrance_door,technical_doors,fire_door,anti-burglary_door,soundproof_door,sliding_door,modern,classic,loft,retro,rustic,wood_door
Aero,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Andromeda,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Bord,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brenta,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Clif,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Compact,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dark,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Demeter,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Discovery,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Glas,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
Greco,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Guard,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Havana,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Larix,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Linea,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Linea Premium,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Linea Premium LOFT,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Lukka,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Magnetic,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Milk,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Modul,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Natura HK-HB CPL,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Natura HK-HB HPL,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Natura HR,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Salvano,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Tetyda,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Tosca,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Venis,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Verti,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Modi Design sliding system,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Single leaf and double leaf sliding system,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0

